1,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,"sumit",35,Nunavut,Storage & Organization,0.8
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,sumit,68.02,Nunavut,Appliances,0.58
3,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Barry French,293,2.99,Nunavut,Binders and Binder Accessories,0.39
4,R380,Clay Rozendal,483,3.99,Nunavut,Telephones and Communication,0.58
5,Holmes HEPA Air Purifier,Carlos Soltero,515,5.94,Nunavut,Appliances,0.5
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,515,4.95,Nunavut,Office Furnishings,0.37
7,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,613,7.72,Nunavut,Binders and Binder Accessories,0.38
8,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,613,6.22,Nunavut,Storage & Organization,
9,"SAFCO Commercial Wire Shelving, Black",Monica Federle,643,35,Nunavut,Storage & Organization,
10,Xerox 198,Dorothy Badders,678,8.33,Nunavut,Paper,0.38
11,Xerox 1980,Neola Schneider,807,6.18,Nunavut,Paper,0.4
12,Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,807,2,Nunavut,Rubber Bands,0.53
13,Holmes HEPA Air Purifier,Carlos Daly,868,5.94,Nunavut,Appliances,0.5
14,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,868,3.61,Nunavut,Computer Peripherals,0.71
15,"Wilson Jones 1"" Hanging DublLock� Ring Binders",Claudia Miner,933,2.99,Nunavut,Binders and Binder Accessories,0.37
16,Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,995,3.04,Nunavut,Office Furnishings,0.53
17,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt,998,1.39,Nunavut,Envelopes,0.4
18,Hon 4-Shelf Metal Bookcases,Sylvia Foulston,1154,26.22,Nunavut,Bookcases,0.6
19,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,1154,69,Nunavut,Tables,0.68
20,g520,Jim Radford,1344,5.26,Nunavut,Telephones and Communication,0.59
21,LX 788,Jim Radford,1344,8.99,Nunavut,Telephones and Communication,0.58
22,Avery 52,Carlos Soltero,1412,0.5,Nunavut,Labels,0.38
23,Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,1412,0.7,Nunavut,Rubber Bands,0.8
24,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig,1539,13.18,Nunavut,Binders and Binder Accessories,0.37
25,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,1539,4.93,Nunavut,Computer Peripherals,0.66
26,Newell 335,Don Miller,1540,0.7,Nunavut,Pens & Art Supplies,0.56
27,SANFORD Liquid Accent� Tank-Style Highlighters,Annie Cyprus,1702,0.93,Nunavut,Pens & Art Supplies,0.54
28,Canon PC940 Copier,Carl Ludwig,1761,49,Nunavut,Copiers and Fax,0.38
29,"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,1792,4.51,Nunavut,Storage & Organization,0.59
30,Col-Erase� Pencils with Erasers,Grant Carroll,2275,1.17,Nunavut,Pens & Art Supplies,0.56
31,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,2277,4.38,Nunavut,Computer Peripherals,0.75
32,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,2277,19.99,Nunavut,Paper,0.36
33,Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,2532,0.49,Nunavut,Labels,0.38
34,Accessory37,Alan Barnes,2532,2.5,Nunavut,Telephones and Communication,0.81
35,Fuji 5.2GB DVD-RAM,Jack Garza,2631,1.99,Nunavut,Computer Peripherals,0.55
36,Bevis Steel Folding Chairs,Julia West,2757,74.35,Nunavut,Chairs & Chairmats,0.57
37,Avery Binder Labels,Eugene Barchas,2791,7.01,Nunavut,Binders and Binder Accessories,0.37
38,Hon Every-Day� Chair Series Swivel Task Chairs,Eugene Barchas,2791,30,Nunavut,Chairs & Chairmats,0.64
39,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas,2791,5.76,Nunavut,Paper,0.4
40,Global Troy� Executive Leather Low-Back Tilter,Edward Hooks,2976,26,Nunavut,Chairs & Chairmats,0.6
41,XtraLife� ClearVue� Slant-D� Ring Binders by Cardinal,Brad Eason,3232,4.71,Nunavut,Binders and Binder Accessories,0.35
42,Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,3524,9.03,Nunavut,Paper,0.37
43,6160,Dorothy Wardle,3908,2.5,Nunavut,Telephones and Communication,0.57
44,Avery 49,Aaron Bergman,4132,0.5,Nunavut,Labels,0.36
45,Hoover Portapower� Portable Vacuum,Jim Radford,4612,49,Nunavut,Appliances,0.6
46,Timeport L7089,Annie Cyprus,4676,7.69,Nunavut,Telephones and Communication,0.58
47,Avery 510,Annie Cyprus,4676,0.5,Nunavut,Labels,0.37
48,Xerox 1881,Annie Cyprus,4676,6.47,Nunavut,Paper,0.38
49,LX 788,Annie Cyprus,4676,8.99,Nunavut,Telephones and Communication,0.58
50,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,5284,2.99,Nunavut,Binders and Binder Accessories,0.39
51,"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,5316,1.99,Nunavut,Computer Peripherals,0.42
52,Unpadded Memo Slips,Don Jones,5409,2.97,Nunavut,Paper,0.35
53,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson,5506,3.04,Nunavut,Paper,0.36
54,"Eldon Expressions� Desk Accessory, Wood Pencil Holder, Oak",Frank Price,5569,6.22,Nunavut,Office Furnishings,0.55
55,Bell Sonecor JB700 Caller ID,Michelle Lonsdale,5607,5.03,Nunavut,Telephones and Communication,0.6
56,Avery Arch Ring Binders,Ann Chong,5894,1.49,Nunavut,Binders and Binder Accessories,0.38
57,APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,5894,4.5,Nunavut,Appliances,0.55
58,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,5925,39.61,Nunavut,Office Furnishings,0.67
59,Accessory4,Joy Bell,5925,0.99,Nunavut,Telephones and Communication,0.85
60,Personal Creations� Ink Jet Cards and Labels,Skye Norling,6016,5.43,Nunavut,Paper,0.36
61,High Speed Automatic Electric Letter Opener,Barry Weirich,6116,24.49,Nunavut,"Scissors, Rulers and Trimmers",0.81
62,Xerox 1966,Grant Carroll,6182,6.65,Nunavut,Paper,0.36
63,Xerox 213,Grant Carroll,6182,7.86,Nunavut,Paper,0.37
64,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,6535,8.99,Nunavut,Pens & Art Supplies,0.57
65,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,6884,4.75,Nunavut,Paper,0.36
66,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling,6884,1.02,Nunavut,Paper,0.39
67,Crate-A-Files�,Andrew Gjertsen,6916,7.46,Nunavut,Storage & Organization,0.59
68,"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,6980,7.72,Nunavut,Binders and Binder Accessories,0.38
69,"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,6982,1.99,Nunavut,Computer Peripherals,0.54
70,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,6982,57.38,Nunavut,Bookcases,0.78
71,12-1/2 Diameter Round Wall Clock,Dorothy Wardle,6982,10.49,Nunavut,Office Furnishings,0.49
72,SAFCO Arco Folding Chair,Grant Carroll,7110,24.49,Nunavut,Chairs & Chairmats,
73,"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,7430,1.39,Nunavut,Envelopes,0.38
74,3M Office Air Cleaner,Beth Paige,7906,5.37,Nunavut,Appliances,0.5
75,"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,8391,64.73,Nunavut,Chairs & Chairmats,0.56
76,Xerox 1936,Nicole Hansen,8419,5.97,Nunavut,Paper,0.38
77,Xerox 214,Nicole Hansen,8419,7.03,Nunavut,Paper,0.37
78,Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,8833,35,Nunavut,Storage & Organization,0.81
79,Staples� General Use 3-Ring Binders,Beth Paige,8995,1.49,Nunavut,Binders and Binder Accessories,0.37
80,Xerox 1904,Beth Paige,8995,5.86,Northwest Territories,Paper,0.36
81,Luxo Professional Combination Clamp-On Lamps,Beth Paige,8995,21.26,Northwest Territories,Office Furnishings,0.59
82,Xerox 217,Beth Paige,8995,8.19,Northwest Territories,Paper,0.37
83,Revere Boxed Rubber Bands by Revere,Beth Paige,8995,0.76,Northwest Territories,Rubber Bands,0.83
84,"Acco Smartsocket� Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,9126,3.99,Northwest Territories,Appliances,0.55
85,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,9127,35,Northwest Territories,Storage & Organization,0.8
86,Hon 4070 Series Pagoda� Round Back Stacking Chairs,Joy Bell,9509,58.95,Northwest Territories,Chairs & Chairmats,0.57
87,Xerox 1887,Joy Bell,9509,5.21,Northwest Territories,Paper,0.37
88,Xerox 1891,Joy Bell,9509,5.81,Northwest Territories,Paper,0.38
89,Avery 506,Alan Barnes,9763,0.5,Northwest Territories,Labels,0.39
90,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,9927,53.48,Northwest Territories,Bookcases,0.65
91,"Lifetime Advantage� Folding Chairs, 4/Carton",Grant Carroll,9927,18.06,Northwest Territories,Chairs & Chairmats,0.57
92,Microsoft Natural Multimedia Keyboard,Grant Carroll,9927,6.5,Northwest Territories,Computer Peripherals,0.73
93,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford,10022,2.27,Northwest Territories,Paper,0.36
